index	sentence1	sentence2	label
501	The table was piled high with food, and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.	Beside the floor there were crocks, baskets, and a five-quart pail of milk.	0
502	Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his childhood.	Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties Goodman faced in his childhood.	0
503	The woman held the girl against her will.	The woman held the girl against the woman's will.	0
504	Jane knocked on Susan's door, but there was no answer. She was out.	Susan was out.	1
505	John was doing research in the library when he heard a man humming and whistling. He was very annoying.	The man was very annoying.	1
506	Mark was close to Mr. Singer's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.	He heard Mark calling for the captain.	0
507	Bob paid for Charlie's college education. He is very grateful.	Bob is very grateful.	0
508	In the middle of the outdoor concert, the rain started falling, but it continued until 10.	The concert continued until 10.	1
509	We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.	There were simply not enough chairs.	0
510	Mark became absorbed in Blaze, the white horse. He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.	Blaze was afraid the stable boys at the Burlington Stables struck at him and bullied him.	0
511	Anne gave birth to a daughter last month. She is a very charming woman.	Anne is a very charming woman.	1
512	So Mark slept. It was daylight when he woke with Warren's hand upon his shoulder.	It was daylight when he woke with Warren's hand upon Warren's shoulder.	0
513	Mark was close to Mr. Singer's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.	Mark heard him calling for the captain	1
514	Stretching her back, the woman smiled at the girl.	Stretching the woman's back, the woman smiled at the girl.	1
515	Bill passed the half-empty plate to John because he was hungry.	Bill was hungry.	0
516	The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured it was too hard to pronounce.	Terpsichore was too hard to pronounce.	1
517	Beth didn't get angry with Sally, who had cut her off, because she stopped and apologized.	Beth stopped and apologized.	0
518	The politicians far away in Washington could not know the settlers so they must make rules to regulate them.	The settlers must make rules to regulate them.	0
519	The trophy doesn't fit into the brown suitcase because it is too large.	The trophy is too large.	1
520	All the buttons up the back of Dora's plaid dress were buttoned outside-in. Maude should have thought to button her up; but no, she had left poor little Dora to do the best she could, alone.	She had left poor little Dora to do the best Dora could, alone.	1
521	Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why she was behaving so strangely.	Alice's daughter was behaving so strangely.	1
522	The firemen arrived before the police because they were coming from so far away.	The police were coming from so far away.	1
523	Dan had to stop Bill from toying with the injured bird. He is very compassionate.	Bill is very compassionate.	0
524	What about the time you cut up tulip bulbs in the hamburgers because you thought they were onions?	You thought hamburgers were onions?	0
525	Tom gave Ralph a lift to school so he wouldn't have to drive alone.	Ralph wouldn't have to drive alone.	0
526	Even before they reached town, they could hear a sound like corn popping. Dora asked what it was, and Dad said it was firecrackers.	Dora asked what the corn was.	0
527	Tom threw his schoolbag down to Ray after he reached the bottom of the stairs.	Tom reached the bottom of the stairs.	0
528	Anne gave birth to a daughter last month. She is a very charming baby.	Anne is a very charming baby.	0
529	Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.	Alice had to hunt for a button.	1
530	Fred watched TV while George went out to buy groceries. After an hour he got back.	Fred got back.	0
531	The woman held the girl against her chest.	The woman held the girl against the girl's chest.	0
532	Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be unnecessary.	The ankles should be unnecessary.	0
533	Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.	He will be moving into The old house on Thursday.	0
534	Pam's parents came home and found her having sex with her boyfriend, Paul. They were embarrassed about it.	Pam's parents were embarrassed about it.	0
535	Sam took French classes from Adam, because he was eager to speak it fluently.	Adam was eager to speak it fluently.	0
536	John ordered Bill to leave, so an hour later he left.	John left.	0
537	Mr. Moncrieff visited Chester's luxurious New York apartment, thinking that it belonged to his son Edward. The result was that Mr. Moncrieff has decided to cancel Edward's allowance on the ground that he no longer requires his financial support.	He no longer requires Edward's financial support.	0
538	Beth didn't get angry with Sally, who had cut her off, because she stopped and counted to ten.	Beth stopped and counted to ten.	1
539	By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly. How very small and straight and rigid she lay in the bunk below! Her eyes were closed, but Tatyana doubted if she slept.	How very small and straight and rigid Tatyana lay in the bunk below!	0
540	The donkey wished a wart on its hind leg would disappear, and it did.	The donkey wished a wart on its hind leg would disappear, and leg did.	0
541	Since Chester was dependent on Uncle Vernon, he couldn't very well marry without his approval	He couldn't very well marry without Uncle Vernon's approval	1
542	Madonna fired her trainer because she couldn't stand her boyfriend.	The trainer couldn't stand her boyfriend.	0
543	Bill passed the gameboy to John because his turn was over.	John's turn was over.	0
544	The father carried the sleeping boy in his bassinet.	The father carried the sleeping boy in the boy's bassinet.	1
545	Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his childhood.	Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties Xenophanes faced in his childhood.	1
546	There is a gap in the wall. You can see the garden behind it.	You can see the garden through the gap.	0
547	Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.	Larry's boss at the railroad company would not want anyone but him to work in the office.	0
548	Mary took out her flute and played one of her favorite pieces. She has loved it since she was a child.	She has loved the flute since she was a child.	0
549	When they had eventually calmed down a bit, and had gotten home, Mr. Farley put the magic pebble in an iron safe. Some day they might want to use it , but really for now, what more could they wish for?	Some day they might want to use the magic pebble.	1
550	The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured it was easier to pronounce.	Tina was easier to pronounce.	1
551	The man lifted the boy onto his shoulders.	The man lifted the boy onto the boy's shoulders.	0
552	The delivery truck zoomed by the school bus because it was going so slow.	The delivery truck was going so slow.	0
553	They broadcast an announcement, but a subway came into the station and I couldn't hear it.	I couldn't hear the announcement.	1
554	Papa looked down at the children's faces, so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them.	It was bad enough that the children had to be denied so many things because he couldn't afford them.	1
555	We went to the lake, because a shark had been seen at the ocean beach, so it was a safer place to swim.	The ocean beach was a safer place to swim.	0
556	Frank was upset with Tom because the toaster he had sold him didn't work.	The toaster Tom had sold him didn't work.	1
557	My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was delayed, so it worked out.	The train was delayed, so it worked out.	1
558	There is a gap in the wall. You can see the garden through it.	You can see the garden through the gap.	1
559	Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.	Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that Bernard had done anything dishonest.	1
560	Grace was happy to trade me her sweater for my jacket. She thinks it looks great on her.	The jacket looks great on her.	1
561	Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.	Lionel plans to use it on Geoffrey and send Dr. Vardi to steal nuclear material from an army vault.	0
562	Fred watched TV while George went out to buy groceries. After an hour he got up.	Fred got up.	1
563	I put the heavy book on the table and it broke.	The table broke.	1
564	We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them.	There were simply too many chairs.	1
565	Sam's drawing was hung just above Tina's and it did look much better with another one above it.	Tina's drawing did look much better with another one above it.	1
566	Emma's mother had died long ago, and her education had been managed by an excellent woman as governess.	Emma's education had been managed by an excellent woman as governess.	1
567	John hired Bill to take care of him.	John hired Bill to take care of John.	1
568	John ordered Bill to leave, so an hour later he left.	Bill left.	1
569	Susan knows all about Ann's personal problems because she is indiscreet.	Ann is indiscreet.	1
570	Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for evidence on the river banks.	Prehistoric humans hunted for evidence on the river banks.	0
571	The signs over the shops' doors had pictures that indicated what work was done inside. Although more and more people were learning how to read, each artisan still had signs, not wishing to lose a possible patron merely because he happened to be illiterate.	Each artisan still had signs, not wishing to lose a possible patron merely because the artisan happened to be illiterate.	0
572	The storekeepers stayed in town to run their stores and lived in the rooms behind them.	The storekeepers stayed in town to run their stores and lived in the rooms behind the rooms.	0
573	Jane knocked on Susan's door, but there was no answer. She was disappointed.	Jane was disappointed.	1
574	Jane knocked on Susan's door, but there was no answer. She was disappointed.	Susan was disappointed.	0
575	Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.	Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that the government official had done anything dishonest.	0
576	The sculpture rolled off the shelf because it wasn't anchored.	The shelf wasn't anchored.	0
577	The scientists are studying three species of fish that have recently been found living in the Indian Ocean. They appeared two years ago.	The fish appeared two years ago.	1
578	Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.	She put the album on a chair without even opening the button.	0
579	The police arrested all of the gang members. They were trying to run the drug trade in the neighborhood.	The gang members were trying to run the drug trade in the neighborhood.	1
580	I can't cut that tree down with that axe; it is too small.	The tree is too small.	0
581	The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, it was gone.	The cloud was gone.	1
582	The path to the lake was blocked, so we couldn't reach it.	We couldn't reach the path.	0
583	Fred and Alice had very warm down coats, but they were not enough for the cold in Alaska.	Fred and Alice were not enough for the cold in Alaska.	0
584	Thomson visited Cooper's grave in 1765. At that date he had been travelling for five years.	Thomson had been travelling for five years.	1
585	The man lifted the boy onto his bunk bed.	The man lifted the boy onto the man's bunk bed.	0
586	Dan took the rear seat while Bill claimed the front because his "Dibs!" was slow.	Dan took the rear seat while Bill claimed the front because Dan's "Dibs!" was slow.	1
587	The woman held the girl against her will.	The woman held the girl against the girl's will.	1
588	I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because it got full of coffee.	The pen got full of coffee.	1
589	This book introduced Shakespeare to Goethe; it was a major influence on his writing.	It was a major influence on Shakespeare's writing.	0
590	As Ollie carried Tommy up the long winding steps, his legs ached.	Ollie's legs ached.	1
591	Dr. Adams informed Kate that she had retired and presented several options for future treatment.	Dr. Adams had retired and presented several options for future treatment.	1
592	I poured water from the bottle into the cup until it was full.	The bottle was full.	0
593	My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was short, so it worked out.	The train was short, so it worked out.	0
594	Sam tried to paint a picture of shepherds with sheep, but they ended up looking more like dogs.	The shepherds ended up looking more like dogs.	0
595	Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why she was behaving so strangely.	Alice was behaving so strangely.	0
596	Emma's mother had died long ago, and her place had been taken by an excellent woman as governess.	Emma's place had been taken by an excellent woman as governess.	0
597	Mary took out her flute and played one of her favorite pieces. She has had it since she was a child.	She has had the piece since she was a child.	0
598	Tom threw his schoolbag down to Ray after he reached the top of the stairs.	Tom reached the top of the stairs.	1
599	Mark was close to Mr. Singer's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.	The captain and all Mr. Singer's crew had best stay in the cabin until the work was over.	0
600	The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured it was easier to pronounce.	Terpsichore was easier to pronounce.	0
601	Fred is the only man still alive who remembers my great-grandfather. He was a remarkable man.	Fred was a remarkable man.	0
602	Joe paid the detective after he received the final report on the case.	The detective received the final report on the case.	0
603	Anna did a lot worse than her good friend Lucy on the test because she had studied so hard.	Lucy had studied so hard.	1
604	Every day after dinner Mr. Schmidt took a long nap. Mark would let him sleep for an hour, then wake him up, scold him, and get him to work. He needed to get him to finish his work, because his work was beautiful.	Mark's work was beautiful.	0
605	Paul tried to call George on the phone, but he wasn't available.	Paul wasn't available.	0
606	Lily spoke to Donna, breaking her silence.	Lily spoke to Donna, breaking Donna's silence.	0
607	The Dakota prairie lay so warm and bright under the shining sun that it did not seem possible that it had ever been swept by the winds and snows of that hard winter.	It did not seem possible that the sun had ever been swept by the winds and snows of that hard winter.	0
608	The older students were bullying the younger ones, so we punished them.	We punished the younger students.	0
609	Many people start to read Paul's books and can't put them down. They are popular because Paul writes so well.	People are popular because Paul writes so well.	0
610	Frank was upset with Tom because the toaster he had bought from him didn't work.	The toaster Tom had bought from him didn't work.	0
611	There is a pillar between me and the stage, and I can't see it.	I can't see around the pillar.	0
612	Ann asked Mary what time the library closes, but she had forgotten.	Ann had forgotten.	0
613	John hired himself out to Bill to take care of him.	John hired himself out to Bill to take care of Bill.	1
614	Then Dad figured out how much the man owed the store; to that he added the man's board-bill at the cook-shanty. He subtracted that amount from the man's wages, and made out his check	Dad subtracted that amount from the man's wages.	1
615	The scientists are studying three species of fish that have recently been found living in the Indian Ocean. They began two years ago.	The scientists began two years ago.	1
616	Emma's mother had died long ago, and her education had been managed by an excellent woman as governess.	Emma's mother's education had been managed by an excellent woman as governess.	0
617	Sid explained his theory to Mark but he couldn't understand him.	Mark couldn't understand him.	1
618	I sat there feeling rather like a chappie I'd once read about in a book, who murdered another cove and hid the body under the dining-room table, and then had to be the life and soul of a dinner party, with it there all the time.	He had to be the life and soul of a dinner party, with the life and soul there all the time.	0
619	Jim comforted Kevin because he was so upset.	Jim was so upset.	0
620	It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size. The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.	Even one thread uncut will leave the hole too small.	1
621	John hired himself out to Bill to take care of him.	John hired himself out to Bill to take care of John.	0
622	John couldn't see the stage with Billy in front of him because he is so tall.	Billy is so tall.	1
623	Patting her back, the woman smiled at the girl.	Patting the girl's back, the woman smiled at the girl.	1
624	I used an old rag to clean the knife, and then I put it in the trash.	I put the knife in the trash.	0
625	Since it was raining, I carried the newspaper in my backpack to keep it dry.	I carried the newspaper in my backpack to keep the backpack dry.	0
626	The sculpture rolled off the shelf because it wasn't level.	The shelf wasn't level.	1
627	Madonna fired her trainer because she couldn't stand her boyfriend.	Madonna couldn't stand her boyfriend.	1
628	By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly. How very small and straight and rigid she lay in the bunk below! Her eyes were closed, but Tatyana doubted if she slept.	Tatyana doubted if Tatyana slept.	0
629	Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are fifteen.	Sam and Amy are fifteen.	1
630	When Tommy dropped his ice cream, Timmy giggled, so father gave him a sympathetic look.	Father gave Timmy a sympathetic look.	0
631	Mark told Pete many lies about himself, which Pete included in his book. He should have been more skeptical.	Pete should have been more skeptical.	1
632	Tom said "Check" to Ralph as he took his bishop.	Tom said "Check" to Ralph as he took Tom's bishop.	0
633	Emma's mother had died long ago, and her place had been taken by an excellent woman as governess.	Emma's mother's place had been taken by an excellent woman as governess.	1
634	Although they ran at about the same speed, Sue beat Sally because she had such a bad start.	Sally had such a bad start.	1
